0 ocgt,1 ocgt,2 ocgt,0 wind,1 wind,2 wind,0 solar,1 solar,2 solar,co2_emission,objective_value,transmission
2733.0,10827.0,10983.0,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1242940217.9222846,0.0
1092.2198092190604,10827.0,12623.780190780939,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1367234239.714513,1640.7801907809396
2733.0,9186.219809219065,12623.780190780935,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1367234239.7145128,1640.7801907809358
4373.780190780938,10827.0,9342.219809219063,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1367234239.714513,1640.780190780938
2733.0,9186.219809219065,12623.780190780935,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1367234239.7145128,1640.7801907809358
5236.925324151942,10827.0,10983.0,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1367234239.7145128,0.0
5236.925324151942,10827.0,10983.0,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1367234239.7145128,0.0
2733.0,9186.219809219065,12623.780190780935,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1367234239.7145128,1640.7801907809358
5236.925324151942,10827.0,10983.0,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1367234239.7145128,0.0
5236.925324151942,10827.0,10983.0,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1367234239.7145128,0.0
5236.925324151942,10827.0,10983.0,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1367234239.7145128,0.0
2733.0,13330.925324151944,10983.0,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1367234239.714513,0.0
2733.0,10827.0,13486.925324151942,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1367234239.7145128,0.0
2733.0,10385.79976133239,10983.0,0.0,1935.0887660860153,0.0,0.0,0.0,0.0,9453.166934219553,1367234239.7145126,0.0
2426.6590300958183,10827.0,10983.0,1845.4275295432647,0.0,0.0,0.0,0.0,0.0,9491.307151144683,1367234239.7145128,0.0
2733.0,10827.0,10753.298858202474,0.0,0.0,1794.540170293173,0.0,0.0,0.0,9511.012646872286,1367234239.714513,0.0
2733.0,10827.0,10983.0,0.0,0.0,0.0,3308.8994209375564,0.0,0.0,9607.2,1367234239.714513,0.0
2733.0,10813.691876177056,10983.0,0.0,0.0,0.0,0.0,3327.030955736419,0.0,9599.215125706232,1367234239.714513,0.0
2733.0,10827.0,10976.363937477474,0.0,0.0,0.0,0.0,0.0,3318.0312612632215,9601.89114998198,1367234239.714513,0.0
2733.0,10827.0,13486.925324151942,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1367234239.7145128,0.0
1092.2198092190604,10827.0,12623.780190780939,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1367234239.714513,1640.7801907809396
2733.0,10827.0,13486.925324151942,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1367234239.7145128,0.0
2733.0,13330.925324151944,10983.0,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1367234239.714513,0.0
4373.78019078094,9186.219809219061,10983.0,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1367234239.714513,1640.7801907809396
4373.780190780938,10827.0,9342.219809219063,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1367234239.714513,1640.780190780938
2733.0,12467.780190780935,9342.219809219065,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1367234239.7145128,1640.7801907809358
2733.0,12467.780190780939,9342.219809219061,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1367234239.714513,1640.780190780939
5236.925324151942,10827.0,10983.0,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1367234239.7145128,0.0
1092.2198092190604,12467.780190780939,10983.0,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1367234239.714513,1640.7801907809396
2733.0,9186.219809219065,12623.780190780935,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1367234239.7145128,1640.7801907809358
